ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    339 |    341 |  508 | 0102000020E6100000020000003711A221083552400E219D70651B33408B993391083552406E45AC0F351B3340
    149 |    151 |  249 | 0102000020E610000002000000EDBC8DCD0E35524028DAB0016C1B3340352493F80135524099F1B6D26B1B3340
    181 |    149 |  244 | 0102000020E6100000030000002D36F7A11C355240FE5A03006C1B3340DAF51CA21B3552408D43FD2E6C1B3340EDBC8DCD0E35524028DAB0016C1B3340
     97 |    181 |  300 | 0102000020E6100000020000006D4D5F741E35524099F1B6D26B1B33402D36F7A11C355240FE5A03006C1B3340
    101 |     97 |  161 | 0102000020E6100000030000009C1320AF2C355240D5C7E8256B1B33407E6A61BB203552401C188A856B1B33406D4D5F741E35524099F1B6D26B1B3340
    125 |    101 |  166 | 0102000020E61000000200000024C9BD0A3A355240947C36BC6A1B33409C1320AF2C355240D5C7E8256B1B3340
    129 |    125 |  202 | 0102000020E6100000020000003CCFE9C3443552404727A6666A1B334024C9BD0A3A355240947C36BC6A1B3340
    132 |    129 |  208 | 0102000020E610000002000000EF6BC94F4F3552402351C3126A1B33403CCFE9C3443552404727A6666A1B3340
    109 |    132 |  213 | 0102000020E610000002000000A7EA1ED95C3552408E07B6A5691B3340EF6BC94F4F3552402351C3126A1B3340
    145 |    109 |  180 | 0102000020E6100000020000006499D9426B3552407D40A033691B3340A7EA1ED95C3552408E07B6A5691B3340
     99 |    145 |  237 | 0102000020E61000000200000047FF70FC7535524030EB0FDE681B33406499D9426B3552407D40A033691B3340
     98 |     99 |  163 | 0102000020E61000000200000064A82FF0813552409540EF32681B334047FF70FC7535524030EB0FDE681B3340
     36 |     98 |  162 | 0102000020E6100000020000004636A15A8E355240838D4699681B334064A82FF0813552409540EF32681B3340
    158 |     36 |   61 | 0102000020E61000000200000051C719798F3552409540EF32681B33404636A15A8E355240838D4699681B3340
    158 |    312 |  472 | 0102000020E61000000200000051C719798F3552409540EF32681B33408D83A6808F355240FDAF29464C1B3340
    312 |    311 |  470 | 0102000020E6100000020000008D83A6808F355240FDAF29464C1B33400A01AF858F3552400D8D2782381B3340
     97 |    238 |  368 | 0102000020E6100000020000006D4D5F741E35524099F1B6D26B1B33400E1714611E355240128F1F85461B3340
    238 |    237 |  366 | 0102000020E6100000020000000E1714611E355240128F1F85461B3340A93A9AD91D3552406288F777111B3340
    237 |      2 |    4 | 0102000020E610000002000000A93A9AD91D3552406288F777111B3340AF1177AB1D35524011267B3A0D1B3340
      2 |    186 |  309 | 0102000020E610000002000000AF1177AB1D35524011267B3A0D1B334004FF00101C3552409FEE97AA0F1B3340
    237 |    173 |  288 | 0102000020E610000002000000A93A9AD91D3552406288F777111B3340303A0FDD223552401CB4571F0F1B3340
    173 |    172 |  285 | 0102000020E610000004000000303A0FDD223552401CB4571F0F1B3340B8EC6BB8233552402C5217DF061B3340DB1BD71A25355240370BC567FC1A3340D43B269C27355240DBB5CE09EB1A3340
